institution_code,campus_code,campus_name,province,city,district,address,yn,created_at,updated_at
institution_01,institution_01_campus_01,中关村校区,北京市,北京市,海淀区,北京市海淀区中关村东路 66 号 A 座,1,2018-04-20 13:30:00,2018-08-06 15:05:00
institution_01,institution_01_campus_02,徐汇校区,上海市,上海市,徐汇区,上海市徐汇区漕溪北路 398 号,1,2018-04-15 17:49:00,2018-08-22 20:50:00
institution_01,institution_01_campus_03,珠江新城校区,广东省,广州市,天河区,广东省广州市天河区花城大道 18 号,1,2018-04-25 15:23:00,2018-06-25 16:18:00
institution_01,institution_01_campus_04,南山校区,广东省,深圳市,南山区,广东省深圳市南山区科苑南路 2666 号,1,2018-04-28 15:26:00,2018-07-23 17:34:00
institution_01,institution_01_campus_05,滨江校区,浙江省,杭州市,滨江区,浙江省杭州市滨江区江南大道 3688 号,1,2018-04-17 13:18:00,2018-05-20 15:03:00
institution_01,institution_01_campus_06,高新区校区,四川省,成都市,武侯区,四川省成都市武侯区天府大道北段 1480 号,1,2018-05-13 12:59:00,2018-06-16 15:40:00
institution_01,institution_01_campus_07,光谷校区,湖北省,武汉市,洪山区,湖北省武汉市洪山区珞喻路 889 号,1,2018-04-26 11:47:00,2018-06-29 12:39:00
institution_01,institution_01_campus_08,高新校区,陕西省,西安市,雁塔区,陕西省西安市雁塔区科技二路 72 号,1,2018-04-07 11:51:00,2018-08-13 13:09:00
institution_02,institution_02_campus_01,张江校区,上海市,上海市,浦东新区,上海市浦东新区张江路 588 号 A 座,1,2018-09-26 21:14:00,2019-03-03 00:48:00
institution_02,institution_02_campus_02,工业园区校区,江苏省,苏州市,苏州工业园区,江苏省苏州市苏州工业园区星湖街 218 号,1,2018-09-09 19:59:00,2019-01-25 21:00:00
institution_02,institution_02_campus_03,鼓楼校区,江苏省,南京市,鼓楼区,江苏省南京市鼓楼区中山北路 105 号,1,2018-09-24 17:04:00,2018-10-02 18:29:00
institution_03,institution_03_campus_01,天河校区,广东省,广州市,天河区,广东省广州市天河区科韵路 48 号 A 座,1,2019-04-08 12:22:00,2019-10-04 15:53:00
institution_03,institution_03_campus_02,福田校区,广东省,深圳市,福田区,广东省深圳市福田区深南大道 6025 号,1,2019-03-28 12:45:00,2019-04-25 14:04:00
institution_03,institution_03_campus_03,南海校区,广东省,佛山市,南海区,广东省佛山市南海区桂澜北路 28 号,1,2019-03-21 11:22:00,2019-08-13 13:15:00
institution_04,institution_04_campus_01,文三路校区,浙江省,杭州市,西湖区,浙江省杭州市西湖区文三路 198 号 A 座,1,2019-11-01 20:23:00,2019-12-24 22:30:00
institution_04,institution_04_campus_02,东部新城校区,浙江省,宁波市,鄞州区,浙江省宁波市鄞州区宁穿路 1811 号,1,2019-10-08 19:02:00,2019-10-31 20:56:00
institution_05,institution_05_campus_01,高新校区,四川省,成都市,高新区,四川省成都市高新区天府二街 88 号,1,2020-05-07 18:19:00,2020-06-19 19:19:00
institution_05,institution_05_campus_02,观音桥校区,重庆市,重庆市,江北区,重庆市江北区建新北路 8 号,1,2020-05-18 14:47:00,2020-10-28 18:02:00
institution_06,institution_06_campus_01,光谷校区,湖北省,武汉市,洪山区,湖北省武汉市洪山区关山大道 355 号,1,2021-07-10 21:54:00,2021-08-14 22:39:00
institution_06,institution_06_campus_02,岳麓校区,湖南省,长沙市,岳麓区,湖南省长沙市岳麓区麓谷大道 627 号,1,2021-07-26 22:56:00,2021-09-14 23:47:00
